╔══════════════════════════════════════════════════════════════════════════════╗
║ 🌍 Google Maps Scraper                                                       ║
║ ⭐ If you find this project useful, please star it on GitHub: https://github ║
║ .com/gosom/google-maps-scraper                                               ║
║ 💖 Consider sponsoring to support development: https://github.com/sponsors/g ║
║ osom                                                                         ║
╚══════════════════════════════════════════════════════════════════════════════╝

2026/07/20 23:27:55 INFO Downloading browsers...
2026/07/20 23:27:55 INFO Downloaded browsers successfully
{"level":"info","component":"scrapemate","time":"2026-07-21T06:27:56.407945Z","message":"starting scrapemate"}
{"level":"info","component":"scrapemate","jobid":"b96abef4-d05f-4d0d-8ece-6d5fc91f7213","time":"2026-07-21T06:28:32.778653Z","message":"113 places found"}
{"level":"info","component":"scrapemate","job":"Job{ID: b96abef4-d05f-4d0d-8ece-6d5fc91f7213, Method: GET, URL: https://www.google.com/maps/search/Plumbing/@37.3361663,-121.8905910,15z, UrlParams: map[hl:en]}","status":"success","duration":36370.688,"time":"2026-07-21T06:28:32.778701Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 108dd138-3eca-4d9e-81c3-a28ed93ea5f4, Method: GET, URL: https://www.google.com/maps/place/Super+Brothers+Plumbing,+Heating+%26+Air+-+San+Jose/data=!4m7!3m6!1s0x2993e7a68d3fdbe9:0xf5e2afb42182fc20!8m2!3d37.3464708!4d-121.9159748!16s%2Fg%2F11vwrdvy2z!19sChIJ6ds_jabnkykRIPyCIbSv4vU?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":584.515,"time":"2026-07-21T06:28:33.363327Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 05461e99-321c-45d3-83f0-cf27594228f7, Method: GET, URL: https://www.google.com/maps/place/Fluid+Dynamics+Plumbing,+Inc./data=!4m7!3m6!1s0x808fcd250a528cd5:0x6679e3ac9539fe4e!8m2!3d37.3387337!4d-121.8887685!16s%2Fg%2F11xrhrs9yr!19sChIJ1YxSCiXNj4ARTv45lazjeWY?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":578.766,"time":"2026-07-21T06:28:33.942157Z","message":"job finished"}
{"level":"info","component":"scrapemate","job":"Job{ID: 3f8a9bb8-cbed-4905-b3d2-f3f9691159f8, Method: GET, URL: https://www.google.com/maps/place/Gomez+Sewer+and+Drain/data=!4m7!3m6!1s0x808fcb59e4738965:0x47e6fc8abb15ae4c!8m2!3d37.3249918!4d-121.9064412!16s%2Fg%2F11cn7882dn!19sChIJZYlz5FnLj4ARTK4Vu4r85kc?authuser=0&hl=en&rclk=1, UrlParams: map[hl:en]}","status":"success","duration":559.391,"time":"2026-07-21T06:28:34.501607Z","message":"job finished"}
